raw_value,normalized_value,source,count,proposed_canonical_category,proposed_parent_category,confidence,requires_review,notes
B105,b105,inventory.device_family,1,B105,,30,true,unmatched candidate; requires review
B20,b20,inventory.device_family,10,B20,,30,true,unmatched candidate; requires review
B30,b30,inventory.device_family,2,B30,,30,true,unmatched candidate; requires review
B40,b40,inventory.device_family,2,B40,,30,true,unmatched candidate; requires review
B450,b450,inventory.device_family,2,B450,,30,true,unmatched candidate; requires review
B650,b650,inventory.device_family,2,B650,,30,true,unmatched candidate; requires review
Dash,dash,inventory.device_family,18,Dash,,30,true,unmatched candidate; requires review
Dinamap,dinamap,inventory.device_family,2,Dinamap,,30,true,unmatched candidate; requires review
Giraffe,giraffe,inventory.device_family,4,Giraffe,,30,true,unmatched candidate; requires review
Omni-bed,omni-bed,inventory.device_family,1,Omni-bed,,30,true,unmatched candidate; requires review
PSMP,psmp,inventory.device_family,4,PSMP,,30,true,unmatched candidate; requires review
Panda,panda,inventory.device_family,4,Panda,,30,true,unmatched candidate; requires review
Procare,procare,inventory.device_family,1,Procare,,30,true,unmatched candidate; requires review
V100,v100,inventory.device_family,4,V100,,30,true,unmatched candidate; requires review
(unknown) ???,(unknown) ???,inventory.description,2,(unknown) ???,,30,true,unmatched candidate; requires review
2,2,inventory.description,1,2,,30,true,unmatched candidate; requires review
80mm Filter (2 packs),80mm filter (2 packs),inventory.description,1,80mm Filter (2 packs),,30,true,unmatched candidate; requires review
9100C CSB REPLACEMENT FMI 34040,9100c csb replacement fmi 34040,inventory.description,1,9100C CSB REPLACEMENT FMI 34040,,30,true,unmatched candidate; requires review
???,???,inventory.description,1,???,,30,true,unmatched candidate; requires review
??? CAP,??? cap,inventory.description,1,??? CAP,,30,true,unmatched candidate; requires review
?????????  (unknown/blank),????????? (unknown/blank),inventory.description,1,????????? (unknown/blank),,30,true,unmatched candidate; requires review
ABS absorber canister reusable,abs absorber canister reusable,inventory.description,1,ABS absorber canister reusable,,30,true,unmatched candidate; requires review
AC/DC Module,ac/dc module,inventory.description,1,AC/DC Module,,30,true,unmatched candidate; requires review
Absorber canister reusable,absorber canister reusable,inventory.description,1,Absorber canister reusable,,30,true,unmatched candidate; requires review
"Aerogen Pro Pediatric T-piece with Silicone Plug, 15mm (5/box)","aerogen pro pediatric t-piece with silicone plug, 15mm (5/box)",inventory.description,1,"Aerogen Pro Pediatric T-piece with Silicone Plug, 15mm (5/box)",,30,true,unmatched candidate; requires review
Air Filter,air filter,inventory.description,1,Air Filter,,30,true,unmatched candidate; requires review
Assy - MSN EXH VALVE ASSY,assy - msn exh valve assy,inventory.description,1,Assy - MSN EXH VALVE ASSY,,30,true,unmatched candidate; requires review
Assy - MSN Exhalation valve flow sensor,assy - msn exhalation valve flow sensor,inventory.description,1,Assy - MSN Exhalation valve flow sensor,,30,true,unmatched candidate; requires review
Assy - MSN Exhalation valve with diaphragm and flow sensor- single use,assy - msn exhalation valve with diaphragm and flow sensor- single use,inventory.description,1,Assy - MSN Exhalation valve with diaphragm and flow sensor- single use,,30,true,unmatched candidate; requires review
Assy MSN B tube,assy msn b tube,inventory.description,1,Assy MSN B tube,,30,true,unmatched candidate; requires review
Assy dash das masimo,assy dash das masimo,inventory.description,1,Assy dash das masimo,,30,true,unmatched candidate; requires review
Autoclavable Bacteria Filter,autoclavable bacteria filter,inventory.description,1,Autoclavable Bacteria Filter,,30,true,unmatched candidate; requires review
B105/B125 Main Board,b105/b125 main board,inventory.description,1,B105/B125 Main Board,,30,true,unmatched candidate; requires review
B20 Filter,b20 filter,inventory.description,1,B20 Filter,,30,true,unmatched candidate; requires review
B20 Pump Motor,b20 pump motor,inventory.description,1,B20 Pump Motor,,30,true,unmatched candidate; requires review
B20 Pump Valve,b20 pump valve,inventory.description,1,B20 Pump Valve,,30,true,unmatched candidate; requires review
B20/B30 LED Backlight,b20/b30 led backlight,inventory.description,1,B20/B30 LED Backlight,,30,true,unmatched candidate; requires review
B20/B40 Adapter,b20/b40 adapter,inventory.description,1,B20/B40 Adapter,,30,true,unmatched candidate; requires review
B20/B40 Keypad,b20/b40 keypad,inventory.description,1,B20/B40 Keypad,,30,true,unmatched candidate; requires review
B20/B40 N2 BP Connector,b20/b40 n2 bp connector,inventory.description,1,B20/B40 N2 BP Connector,,30,true,unmatched candidate; requires review
B20/B40 Pump,b20/b40 pump,inventory.description,1,B20/B40 Pump,,30,true,unmatched candidate; requires review
B30 Cable / xxxx Connectors,b30 cable / xxxx connectors,inventory.description,1,B30 Cable / xxxx Connectors,,30,true,unmatched candidate; requires review
B40 NIBP Keypad,b40 nibp keypad,inventory.description,1,B40 NIBP Keypad,,30,true,unmatched candidate; requires review
B450 module and rail Unit,b450 module and rail unit,inventory.description,1,B450 module and rail Unit,,30,true,unmatched candidate; requires review
B650 Keypad,b650 keypad,inventory.description,1,B650 Keypad,,30,true,unmatched candidate; requires review
B650 Power Supply,b650 power supply,inventory.description,1,B650 Power Supply,,30,true,unmatched candidate; requires review
Back light F-mx,back light f-mx,inventory.description,1,Back light F-mx,,30,true,unmatched candidate; requires review
Bag Arm and Protector Assy,bag arm and protector assy,inventory.description,1,Bag Arm and Protector Assy,,30,true,unmatched candidate; requires review
Bag to vent switch,bag to vent switch,inventory.description,1,Bag to vent switch,,30,true,unmatched candidate; requires review
Bellows subassy adult ABA,bellows subassy adult aba,inventory.description,1,Bellows subassy adult ABA,,30,true,unmatched candidate; requires review
Brushless DC Motor,brushless dc motor,inventory.description,1,Brushless DC Motor,,30,true,unmatched candidate; requires review
Button,button,inventory.description,1,Button,,30,true,unmatched candidate; requires review
CA B15 to O2 cell - o2 cell cable,ca b15 to o2 cell - o2 cell cable,inventory.description,1,CA B15 to O2 cell - o2 cell cable,,30,true,unmatched candidate; requires review
CPU Board for xxxx,cpu board for xxxx,inventory.description,1,CPU Board for xxxx,,30,true,unmatched candidate; requires review
CPU board SLE 5000,cpu board sle 5000,inventory.description,1,CPU board SLE 5000,,30,true,unmatched candidate; requires review
CPU board SLE4000,cpu board sle4000,inventory.description,1,CPU board SLE4000,,30,true,unmatched candidate; requires review
Cable Isolation Nurse Call,cable isolation nurse call,inventory.description,1,Cable Isolation Nurse Call,,30,true,unmatched candidate; requires review
Cable management arm short,cable management arm short,inventory.description,1,Cable management arm short,,30,true,unmatched candidate; requires review
Circuit Breaker,circuit breaker,inventory.description,1,Circuit Breaker,,30,true,unmatched candidate; requires review
Clip bag arm,clip bag arm,inventory.description,1,Clip bag arm,,30,true,unmatched candidate; requires review
Condenser Module,condenser module,inventory.description,1,Condenser Module,,30,true,unmatched candidate; requires review
Conical filter,conical filter,inventory.description,1,Conical filter,,30,true,unmatched candidate; requires review
Connectors SLE 2000,connectors sle 2000,inventory.description,1,Connectors SLE 2000,,30,true,unmatched candidate; requires review
Connectors SLE 4000/5000,connectors sle 4000/5000,inventory.description,1,Connectors SLE 4000/5000,,30,true,unmatched candidate; requires review
Control Board for Panda Warmer,control board for panda warmer,inventory.description,1,Control Board for Panda Warmer,,30,true,unmatched candidate; requires review
Control board SLE 5000,control board sle 5000,inventory.description,1,Control board SLE 5000,,30,true,unmatched candidate; requires review
Control board omni-bed,control board omni-bed,inventory.description,1,Control board omni-bed,,30,true,unmatched candidate; requires review
Corner Grommet,corner grommet,inventory.description,1,Corner Grommet,,30,true,unmatched candidate; requires review
Cover AGSS,cover agss,inventory.description,1,Cover AGSS,,30,true,unmatched candidate; requires review
Cover assembly canister,cover assembly canister,inventory.description,1,Cover assembly canister,,30,true,unmatched candidate; requires review
Dash 2500 Buttons,dash 2500 buttons,inventory.description,1,Dash 2500 Buttons,,30,true,unmatched candidate; requires review
Dash 2500 Trimknob,dash 2500 trimknob,inventory.description,1,Dash 2500 Trimknob,,30,true,unmatched candidate; requires review
Dash 2500 power supply,dash 2500 power supply,inventory.description,1,Dash 2500 power supply,,30,true,unmatched candidate; requires review
Dash 3000 display,dash 3000 display,inventory.description,1,Dash 3000 display,,30,true,unmatched candidate; requires review
Dash 3000 inverter fru,dash 3000 inverter fru,inventory.description,1,Dash 3000 inverter fru,,30,true,unmatched candidate; requires review
Dash 3000 keypad,dash 3000 keypad,inventory.description,1,Dash 3000 keypad,,30,true,unmatched candidate; requires review
Dash 3000/4000 Power supply,dash 3000/4000 power supply,inventory.description,1,Dash 3000/4000 Power supply,,30,true,unmatched candidate; requires review
Dash 4000 fru,dash 4000 fru,inventory.description,1,Dash 4000 fru,,30,true,unmatched candidate; requires review
Dash 5000 keypad,dash 5000 keypad,inventory.description,1,Dash 5000 keypad,,30,true,unmatched candidate; requires review
Dash Pump,dash pump,inventory.description,1,Dash Pump,,30,true,unmatched candidate; requires review
Dash Trim knob cover,dash trim knob cover,inventory.description,1,Dash Trim knob cover,,30,true,unmatched candidate; requires review
