approved,raw_value,normalized_value,canonical_code,canonical_name,parent_code,parent_name,match_action,alias_source,confidence,review_notes
false,spare_parts,spare_parts,PARTS_AND_ACCESSORIES,Parts and Accessories,,,review,inventory.item_category,65,taxonomy keyword candidate; requires review
false,B105,b105,B105,B105,,,review,inventory.device_family,30,unmatched candidate; requires review
false,B20,b20,B20,B20,,,review,inventory.device_family,30,unmatched candidate; requires review
false,B30,b30,B30,B30,,,review,inventory.device_family,30,unmatched candidate; requires review
false,B40,b40,B40,B40,,,review,inventory.device_family,30,unmatched candidate; requires review
false,B450,b450,B450,B450,,,review,inventory.device_family,30,unmatched candidate; requires review
false,B650,b650,B650,B650,,,review,inventory.device_family,30,unmatched candidate; requires review
false,Dash,dash,DASH,Dash,,,review,inventory.device_family,30,unmatched candidate; requires review
false,Dinamap,dinamap,DINAMAP,Dinamap,,,review,inventory.device_family,30,unmatched candidate; requires review
false,Giraffe,giraffe,GIRAFFE,Giraffe,,,review,inventory.device_family,30,unmatched candidate; requires review
false,Monitoring,monitoring,MULTIPARAMETER_MONITOR,Multiparameter Monitor,,Patient Monitoring,review,inventory.device_family,65,taxonomy keyword candidate; requires review
false,Omni-bed,omni-bed,OMNI-BED,Omni-bed,,,review,inventory.device_family,30,unmatched candidate; requires review
false,PSMP,psmp,PSMP,PSMP,,,review,inventory.device_family,30,unmatched candidate; requires review
false,Panda,panda,PANDA,Panda,,,review,inventory.device_family,30,unmatched candidate; requires review
false,Procare,procare,PROCARE,Procare,,,review,inventory.device_family,30,unmatched candidate; requires review
false,V100,v100,V100,V100,,,review,inventory.device_family,30,unmatched candidate; requires review
false,(unknown) ???,(unknown) ???,(UNKNOWN)_???,(unknown) ???,,,review,inventory.description,30,unmatched candidate; requires review
false,2,2,2,2,,,review,inventory.description,30,unmatched candidate; requires review
false,80mm Filter (2 packs),80mm filter (2 packs),80MM_FILTER_(2_PACKS),80mm Filter (2 packs),,,review,inventory.description,30,unmatched candidate; requires review
false,9100C CSB REPLACEMENT FMI 34040,9100c csb replacement fmi 34040,9100C_CSB_REPLACEMENT_FMI_34040,9100C CSB REPLACEMENT FMI 34040,,,review,inventory.description,30,unmatched candidate; requires review
false,???,???,???,???,,,review,inventory.description,30,unmatched candidate; requires review
false,??? CAP,??? cap,???_CAP,??? CAP,,,review,inventory.description,30,unmatched candidate; requires review
false,?????????  (unknown/blank),????????? (unknown/blank),?????????_(UNKNOWN/BLANK),????????? (unknown/blank),,,review,inventory.description,30,unmatched candidate; requires review
false,ABS absorber canister reusable,abs absorber canister reusable,ABS_ABSORBER_CANISTER_REUSABLE,ABS absorber canister reusable,,,review,inventory.description,30,unmatched candidate; requires review
false,AC/DC Module,ac/dc module,AC/DC_MODULE,AC/DC Module,,,review,inventory.description,30,unmatched candidate; requires review
false,Absorber canister reusable,absorber canister reusable,ABSORBER_CANISTER_REUSABLE,Absorber canister reusable,,,review,inventory.description,30,unmatched candidate; requires review
false,"Aerogen Pro Pediatric T-piece with Silicone Plug, 15mm (5/box)","aerogen pro pediatric t-piece with silicone plug, 15mm (5/box)",AEROGEN_PRO_PEDIATRIC_T-PIECE_WITH_SILIC,"Aerogen Pro Pediatric T-piece with Silicone Plug, 15mm (5/box)",,,review,inventory.description,30,unmatched candidate; requires review
false,Air Filter,air filter,AIR_FILTER,Air Filter,,,review,inventory.description,30,unmatched candidate; requires review
false,Assy - MSN EXH VALVE ASSY,assy - msn exh valve assy,ASSY_-_MSN_EXH_VALVE_ASSY,Assy - MSN EXH VALVE ASSY,,,review,inventory.description,30,unmatched candidate; requires review
false,Assy - MSN Exhalation valve flow sensor,assy - msn exhalation valve flow sensor,ASSY_-_MSN_EXHALATION_VALVE_FLOW_SENSOR,Assy - MSN Exhalation valve flow sensor,,,review,inventory.description,30,unmatched candidate; requires review
false,Assy - MSN Exhalation valve with diaphragm and flow sensor- single use,assy - msn exhalation valve with diaphragm and flow sensor- single use,ASSY_-_MSN_EXHALATION_VALVE_WITH_DIAPHRA,Assy - MSN Exhalation valve with diaphragm and flow sensor- single use,,,review,inventory.description,30,unmatched candidate; requires review
false,Assy MSN B tube,assy msn b tube,ASSY_MSN_B_TUBE,Assy MSN B tube,,,review,inventory.description,30,unmatched candidate; requires review
false,Assy dash das masimo,assy dash das masimo,ASSY_DASH_DAS_MASIMO,Assy dash das masimo,,,review,inventory.description,30,unmatched candidate; requires review
false,Autoclavable Bacteria Filter,autoclavable bacteria filter,AUTOCLAVABLE_BACTERIA_FILTER,Autoclavable Bacteria Filter,,,review,inventory.description,30,unmatched candidate; requires review
false,B105/B125 Main Board,b105/b125 main board,B105/B125_MAIN_BOARD,B105/B125 Main Board,,,review,inventory.description,30,unmatched candidate; requires review
